Player	Team	Pos	G	AB	R	H	DB	TR	HR	RBI	BB	K	SB
Jones, A	BAL	CF	145	580	54	163	35	0	15	63	24	93	7
Ozuna, M	STL	LF	148	582	69	163	16	2	23	88	38	110	3
Castro, S	MIA	2B	154	593	76	165	32	2	12	54	48	124	6
Chapman, M	OAK	3B	145	547	100	152	42	6	24	68	58	146	1
Marte, S	PIT	CF	145	559	81	155	32	5	20	72	35	109	33
Lindor, F	CLE	SS	158	661	129	183	42	2	38	92	70	107	25
Realmuto, J	MIA	C	125	477	74	132	30	3	21	74	38	104	3
Gonzalez, C	COL	RF	132	463	71	128	32	4	16	64	37	113	5
LeMahieu, D	COL	2B	128	533	90	147	32	2	15	62	37	82	6
Pham, T	TB	LF	137	494	102	136	18	6	21	63	67	140	15
Aguilar, J	MIL	1B	149	492	80	135	25	0	35	108	58	143	0
Anderson, B	MIA	3B	156	590	87	161	34	4	11	65	62	129	2
Escobar, E	ARI	3B	151	566	75	154	48	3	23	84	52	126	2
Camargo, J	ATL	3B	134	464	63	126	27	1	19	76	51	108	1
Turner, T	WSH	SS	162	664	103	180	27	6	19	73	69	132	43
Ramirez, J	CLE	3B	157	578	110	156	38	4	39	105	106	80	34
Gordon, D	SEA	2B	141	556	62	149	17	8	4	36	9	80	30
Gregorius, D	NYY	SS	134	504	89	135	23	5	27	86	48	69	10
Jay, J	ARI	RF	143	527	74	141	19	7	3	40	33	95	4
Piscotty, S	OAK	RF	151	546	78	146	41	0	27	88	42	114	2
Lowrie, J	OAK	2B	157	596	78	159	37	1	23	99	78	128	0
Stanton, G	NYY	DH	158	617	102	164	34	1	38	100	70	211	5
Springer, G	HOU	CF	140	544	102	144	26	0	22	71	64	122	6
Inciarte, E	ATL	CF	156	597	83	158	27	6	10	61	49	86	28
Nunez, E	BOS	2B	127	480	56	127	23	3	10	44	16	69	7
Abreu, J	CWS	1B	128	499	68	132	36	1	22	78	37	109	2
Dietrich, D	MIA	LF	149	499	72	132	26	2	16	45	29	140	2
Choo, S	TEX	LF	146	560	83	148	30	1	21	62	92	156	6
Nimmo, B	NYM	CF	140	433	77	114	28	8	17	47	80	140	9
Cabrera, A	PHI	2B	147	546	68	143	36	1	23	75	41	119	0
Bell, J	PIT	1B	148	501	74	131	31	4	12	62	77	104	2
Molina, Y	STL	C	123	459	55	120	20	0	20	74	29	66	4
Albies, O	ATL	2B	158	639	105	167	40	5	24	72	36	116	14
Bellinger, C	LAD	RF	162	557	84	145	28	7	25	76	69	151	14
Villar, J	BAL	2B	141	466	54	121	14	1	14	46	41	138	35
Marte, K	ARI	CF	153	520	68	135	26	12	14	59	54	79	6
Mazara, N	TEX	RF	128	489	61	126	25	1	20	77	40	116	1
Carpenter, M	STL	3B	156	564	111	145	42	0	36	81	102	158	4
Upton, J	LAA	LF	145	533	80	137	18	1	30	85	64	176	8
Rosario, A	NYM	SS	154	554	76	142	26	8	9	51	29	119	24
Cruz, N	SEA	DH	144	519	70	133	18	1	37	97	55	122	1
McCutchen, A	NYY	RF	155	569	83	145	30	3	20	65	95	145	14
Semien, M	OAK	SS	159	632	89	161	35	2	15	70	61	131	14
Herrera, O	PHI	CF	148	550	64	140	19	3	22	71	38	122	5
Crawford, B	SF	SS	151	531	63	135	28	2	14	54	50	122	4
Profar, J	TEX	SS	146	524	82	133	35	6	20	77	54	88	10
Polanco, G	PIT	RF	130	461	75	117	32	6	23	81	61	117	12
Taylor, C	LAD	LF	155	536	85	136	35	8	17	63	55	178	9
Cron, C	TB	1B	140	501	68	127	28	1	30	74	37	145	1
Odor, R	TEX	2B	129	474	76	120	23	2	18	63	43	127	12
Hernandez, C	PHI	2B	161	605	91	153	15	3	15	60	95	155	19
Hosmer, E	SD	1B	157	613	72	155	31	2	18	69	62	142	7
Rojas, M	MIA	SS	153	488	44	123	13	0	11	53	24	69	6
Pillar, K	TOR	CF	142	512	65	129	40	2	15	59	18	98	14
Moustakas, M	MIL	3B	152	573	66	144	33	1	28	95	49	103	4
Martinez, V	DET	DH	133	467	32	117	21	0	9	54	32	49	0
Alonso, Y	CLE	1B	145	516	64	129	19	0	23	83	51	123	0
Harper, B	WSH	RF	159	550	103	137	34	0	34	100	130	169	13
Contreras, W	CHC	C	138	474	50	118	27	5	10	54	53	121	4
Hicks, A	NYY	CF	137	480	90	119	18	3	27	79	90	111	11
Barnhart, T	CIN	C	138	460	50	114	21	3	10	46	54	96	0
Galvis, F	SD	SS	162	602	62	149	31	5	13	67	45	147	8
Gonzalez, M	HOU	LF	145	489	61	121	25	3	16	68	53	126	2
Olson, M	OAK	1B	162	580	85	143	33	0	29	84	70	163	2
Davis, K	OAK	LF	151	576	98	142	28	1	48	123	59	175	0
Encarnacion, E	CLE	DH	137	500	74	123	16	1	32	107	63	132	3
Hoskins, R	PHI	1B	153	558	89	137	38	0	34	96	87	150	5
Margot, M	SD	CF	141	477	50	117	26	8	8	51	32	88	11
Gordon, A	KC	LF	141	506	56	124	24	0	13	54	50	124	12
Longoria, E	SF	3B	125	480	51	117	25	4	16	54	22	101	3
Conforto, M	NYM	LF	153	543	78	132	25	1	28	82	84	159	3
Mancini, T	BAL	LF	156	582	69	141	23	3	24	58	44	153	0
Sanchez, Y	CWS	2B	155	600	62	145	34	10	8	55	49	138	14
Smoak, J	TOR	1B	147	505	67	122	34	0	25	77	83	156	0
Shaw, T	MIL	3B	152	498	73	120	23	0	32	86	78	108	5
Grandal, Y	LAD	C	140	440	65	106	23	2	24	68	72	124	2
Kinsler, I	BOS	2B	128	487	66	117	26	0	14	48	40	64	16
Anderson, T	CWS	SS	153	567	77	136	28	3	20	64	30	149	26
Hernandez, T	TOR	LF	134	476	67	114	29	7	22	57	41	163	5
Swanson, D	ATL	SS	136	478	51	114	25	4	14	59	44	122	10
Schwarber, K	CHC	LF	137	428	64	102	14	3	26	61	78	140	4
Hamilton, B	CIN	CF	153	504	74	119	16	9	4	29	46	132	34
Desmond, I	COL	CF	160	555	82	131	21	8	22	88	53	146	20
Gardner, B	NYY	CF	140	530	95	125	20	7	12	45	65	107	16
Healy, R	SEA	1B	133	493	51	116	15	0	24	73	27	113	0
Moncada, Y	CWS	3B	149	578	73	136	32	6	17	61	67	217	12
Perez, S	KC	C	129	510	52	120	23	0	27	80	17	108	1
Ahmed, N	ARI	SS	153	516	61	121	33	5	16	70	40	109	5
Bradley Jr., J	BOS	CF	144	474	76	111	33	4	13	59	46	137	17
Escobar, A	KC	SS	140	485	54	112	22	3	4	34	29	74	8
Kipnis, J	CLE	2B	147	530	65	122	28	1	18	75	60	112	7
Santana, C	PHI	1B	161	560	82	128	28	2	24	86	110	93	2
Solarte, Y	TOR	3B	122	468	50	106	20	0	17	54	31	72	1
Candelario, J	DET	3B	144	539	78	121	28	3	19	54	66	160	3
Kepler, M	MIN	RF	156	532	80	119	30	4	20	58	71	96	4
Seager, K	SEA	3B	155	583	62	129	36	1	22	78	38	138	2
Dozier, B	LAD	2B	151	553	81	119	30	2	21	72	70	129	12
Calhoun, K	LAA	RF	137	491	71	102	18	2	19	57	53	133	6
Gallo, J	TEX	CF	148	500	82	103	24	1	40	92	74	207	3
Davis, C	BAL	1B	128	470	40	79	12	0	16	49	41	192	2
